time	NK.EXE	filesys.exe	device.exe	cprog.exe	gwes.exe	shell32.exe	services.exe	connmgr.exe	poutlook.exe	tmarshaller.exe	IQueue.exe	AEBPlus.exe	DataServer.exe	SSClient.exe	memuse.exe	ENCommLoader.exe	SureLockClient.exe	wceload.exe	KioskCenter.exe	SSTransferAgent.exe	SpeedyMOBILE.exe	uptimesqm.exe	total
3/16/2015 12:39:12 PM	0	0	8994816	1449984	6393856	2281472	974848	360448	86016	90112	585728	172032	1679360	1335296	106496	208896	147456	393216	180224	114688	7049216		32604160
3/16/2015 12:39:22 PM	0	0	8994816	1449984	6393856	2281472	974848	360448	86016	90112	585728	172032	1679360	1335296	106496	208896	147456	393216	180224	114688	7049216		32604160
3/16/2015 12:39:32 PM	0	0	8994816	1449984	6393856	2281472	974848	360448	86016	90112	585728	172032	1679360	1335296	106496	208896	147456	393216	180224	114688	7049216		32604160
3/16/2015 12:39:42 PM	0	0	8994816	1449984	6393856	2281472	974848	360448	86016	90112	585728	172032	1679360	1335296	106496	208896	147456	393216	180224	114688	7049216		32604160
3/16/2015 12:39:52 PM	0	0	8994816	1449984	6393856	2281472	974848	360448	86016	90112	585728	172032	1679360	1335296	106496	208896	147456	393216	180224	114688	7049216		32604160
3/16/2015 12:40:02 PM	0	0	8994816	1449984	6393856	2281472	974848	360448	86016	90112	585728	172032	1679360	1335296	106496	208896	147456	393216	180224	114688	7049216		32604160
3/16/2015 12:40:12 PM	0	0	8994816	1449984	6393856	2281472	974848	360448	86016	90112	585728	172032	1679360	1335296	106496	208896	147456	393216	180224	114688	7049216		32604160
3/16/2015 12:40:22 PM	0	0	8994816	1449984	6393856	2281472	974848	360448	86016	90112	585728	172032	1679360	1335296	106496	208896	147456	393216	180224	114688	7049216		32604160
3/16/2015 12:40:32 PM	0	0	8994816	1449984	6393856	2281472	974848	360448	86016	90112	585728	172032	1679360	1335296	106496	208896	147456	393216	180224	114688	7049216		32604160
3/16/2015 12:40:42 PM	0	0	8994816	1449984	6393856	2281472	974848	360448	86016	90112	585728	172032	1679360	1335296	106496	208896	147456	393216	180224	114688	7049216		32604160
3/16/2015 12:40:52 PM	0	0	8994816	1449984	6393856	2281472	974848	360448	86016	90112	585728	172032	1679360	1335296	106496	208896	147456	393216	180224	114688	7049216		32604160
3/16/2015 12:41:02 PM	0	0	8994816	1449984	6393856	2281472	974848	360448	86016	90112	585728	172032	1679360	1335296	106496	208896	147456	393216	180224	114688	7049216		32604160
3/16/2015 12:41:12 PM	0	0	8994816	1449984	6393856	2281472	974848	364544	86016	90112	585728	172032	1679360	1335296	106496	208896	147456	393216	180224	114688	7049216		32608256
3/16/2015 12:41:22 PM	0	0	8994816	1449984	6393856	2281472	974848	364544	86016	90112	585728	172032	1679360	1335296	106496	208896	147456	393216	180224	114688	7049216		32608256
3/16/2015 12:41:32 PM	0	0	8994816	1449984	6393856	2281472	974848	364544	86016	90112	585728	172032	1679360	1335296	106496	208896	147456	393216	180224	114688	7049216		32608256
3/16/2015 12:41:42 PM	0	0	8994816	1449984	6848512	2281472	974848	364544	86016	90112	585728	172032	1679360	1335296	106496	208896	147456	393216	180224	114688	7049216		33062912
3/16/2015 12:41:52 PM	0	0	8994816	1449984	6848512	2281472	974848	364544	86016	90112	585728	172032	1679360	1335296	106496	208896	147456	393216	180224	114688	7049216		33062912
3/16/2015 12:42:02 PM	0	0	8994816	1449984	7290880	2281472	974848	364544	86016	90112	585728	172032	1679360	1335296	106496	208896	147456	393216	180224	114688	7036928		33492992
3/16/2015 12:42:12 PM	0	0	8994816	1449984	7290880	2281472	974848	364544	86016	90112	585728	172032	1679360	1335296	106496	208896	147456	393216	180224	114688	7036928		33492992
3/16/2015 12:42:22 PM	0	0	8994816	1449984	7290880	2281472	974848	364544	86016	90112	585728	172032	1679360	1335296	106496	208896	147456	393216	180224	114688	7036928		33492992
3/16/2015 12:42:32 PM	0	0	8994816	1449984	7290880	2281472	974848	364544	86016	90112	585728	172032	1679360	1335296	106496	208896	147456	393216	180224	114688	7036928		33492992
3/16/2015 12:42:42 PM	0	0	8994816	1449984	7290880	2281472	974848	364544	86016	90112	585728	172032	1679360	1335296	106496	208896	147456	393216	180224	114688	7045120		33501184
3/16/2015 12:42:52 PM	0	0	8994816	1449984	7290880	2281472	974848	364544	86016	90112	585728	172032	1679360	1335296	106496	208896	147456	393216	180224	114688	7045120		33501184
3/16/2015 12:43:02 PM	0	0	8994816	1449984	6746112	2281472	974848	364544	86016	90112	585728	172032	1679360	1335296	106496	208896	147456	393216	180224	114688	7045120		32956416
3/16/2015 12:43:12 PM	0	0	8994816	1449984	6746112	2281472	974848	364544	86016	90112	585728	172032	1679360	1335296	106496	208896	147456	393216	180224	114688	7045120		32956416
3/16/2015 12:43:22 PM	0	0	8994816	1449984	6746112	2281472	974848	364544	86016	90112	585728	172032	1679360	1335296	106496	208896	147456	393216	180224	114688	7045120		32956416
3/16/2015 12:43:32 PM	0	0	8994816	1449984	6746112	2281472	974848	364544	86016	90112	585728	172032	1679360	1335296	106496	208896	147456	393216	180224	114688	7045120		32956416
3/16/2015 12:43:42 PM	0	0	8994816	1449984	6746112	2281472	974848	364544	86016	90112	585728	172032	1679360	1335296	106496	208896	147456	393216	180224	114688	7045120		32956416
3/16/2015 12:43:52 PM	0	0	8994816	1449984	6746112	2281472	974848	364544	86016	90112	585728	172032	1679360	1335296	106496	208896	147456	393216	180224	114688	7045120		32956416
3/16/2015 12:44:02 PM	0	0	8994816	1449984	6746112	2281472	974848	364544	86016	90112	585728	172032	1679360	1335296	106496	208896	147456	393216	180224	114688	7045120		32956416
3/16/2015 12:44:12 PM	0	0	8994816	1449984	6746112	2281472	974848	364544	86016	90112	585728	172032	1679360	1335296	106496	208896	147456	393216	180224	114688	7045120		32956416
3/16/2015 12:44:22 PM	0	0	8994816	1449984	6746112	2281472	974848	364544	86016	90112	585728	172032	1679360	1335296	106496	208896	147456	393216	180224	114688	7045120		32956416
3/16/2015 12:44:32 PM	0	0	8994816	1449984	6746112	2281472	974848	364544	86016	90112	585728	172032	1679360	1335296	106496	208896	147456	393216	180224	114688	7045120		32956416
3/16/2015 12:44:42 PM	0	0	8994816	1449984	6746112	2281472	974848	364544	86016	90112	585728	172032	1679360	1335296	106496	208896	147456	393216	180224	114688	7045120		32956416
3/16/2015 12:44:52 PM	0	0	8994816	1449984	6746112	2281472	974848	364544	86016	90112	585728	172032	1679360	1335296	106496	208896	147456	393216	180224	114688	7041024		32952320
