time	NK.EXE	filesys.exe	device.exe	uptimesqm.exe	poutlook.exe	gwes.exe	shell32.exe	services.exe	connmgr.exe	IQueue.exe	SSClient.exe	RBLogger.exe	RBTimeStamp.exe	SSTransferAgent.exe	memuse.exe	ssLaunch.exe	RFIDDce.Exe	DataServer.exe	flexmobility.view.CF.exe	Dw.exe	autorun.exe	RemoteViewer.exe	fexplore.exe	total
20.03.2015 13:55:55	0	0	9240576		86016	3670016	1802240	1036288	724992	1208320	2093056	65536	20480		110592		2813952	1626112	5521408					30019584
20.03.2015 13:56:05	0	0	9240576		86016	3670016	1802240	1036288	724992	1208320	2093056	65536	20480		110592		2813952	1626112	5521408					30019584
20.03.2015 13:56:15	0	0	9240576		86016	3670016	1802240	1036288	724992	1208320	2093056	65536	20480		110592		2813952	1626112	5521408					30019584
20.03.2015 13:56:25	0	0	9240576		86016	3670016	1802240	1036288	724992	1208320	2093056	65536	20480		110592		2813952	1626112	5521408					30019584
20.03.2015 13:56:35	0	0	9240576		86016	3670016	1802240	1036288	724992	1208320	2093056	65536	20480		110592		2813952	1626112	5521408					30019584
20.03.2015 13:56:45	0	0	9240576		86016	3670016	1802240	1036288	724992	1208320	2093056	65536	20480		110592		2813952	1626112	5521408					30019584
20.03.2015 13:56:55	0	0	9240576		86016	3670016	1802240	1036288	724992	1208320	2093056	65536	20480		110592		2813952	1626112	5521408					30019584
20.03.2015 13:57:05	0	0	9240576		86016	3670016	1802240	1036288	724992	1208320	2093056	65536	20480		110592		2813952	1626112	5521408					30019584
20.03.2015 13:57:15	0	0	9240576		86016	3670016	1802240	1036288	724992	1208320	2093056	65536	20480		110592		2813952	1626112	5521408					30019584
20.03.2015 13:57:25	0	0	9240576		86016	3670016	1802240	1036288	724992	1208320	2093056	65536	20480		110592		2813952	1626112	5521408					30019584
20.03.2015 13:57:35	0	0	9240576		86016	3670016	1802240	1036288	724992	1208320	2093056	65536	20480		110592		2813952	1626112	5521408					30019584
20.03.2015 13:57:45	0	0	9240576		86016	3670016	1802240	1036288	724992	1208320	2093056	65536	20480		110592		2813952	1626112	5521408					30019584
20.03.2015 13:57:55	0	0	9240576		86016	3670016	1802240	1036288	724992	1208320	2093056	65536	20480		110592		2813952	1626112	5521408					30019584
20.03.2015 13:58:05	0	0	9240576		86016	3670016	1802240	1036288	724992	1208320	2093056	65536	20480		110592		2813952	1626112	5521408					30019584
20.03.2015 13:58:15	0	0	9240576		86016	3670016	1802240	1036288	724992	1208320	2093056	65536	20480		110592		2813952	1626112	5521408					30019584
20.03.2015 13:58:25	0	0	9240576		86016	3670016	1802240	1036288	724992	1208320	2093056	65536	20480		110592		2813952	1626112	5521408					30019584
20.03.2015 13:58:35	0	0	9240576		86016	3670016	1802240	1036288	724992	1208320	2093056	65536	20480		110592		2813952	1626112	5521408					30019584
20.03.2015 13:58:45	0	0	9240576		86016	3670016	1802240	1036288	724992	1208320	2093056	65536	20480		110592		2813952	1626112	5521408					30019584
20.03.2015 13:58:55	0	0	9240576		86016	3670016	1802240	1036288	724992	1208320	2093056	65536	20480		110592		2813952	1626112	5521408					30019584
20.03.2015 13:59:05	0	0	9240576		86016	3670016	1802240	1036288	724992	1208320	2093056	65536	20480		110592		2813952	1626112	5521408					30019584
20.03.2015 13:59:15	0	0	9240576		86016	3670016	1802240	1036288	724992	1208320	2093056	65536	20480		110592		2813952	1626112	5521408					30019584
20.03.2015 13:59:25	0	0	9240576		86016	3670016	1802240	1036288	724992	1208320	2093056	65536	20480		110592		2813952	1626112	5521408					30019584
20.03.2015 13:59:35	0	0	9240576		86016	3670016	1802240	1036288	724992	1208320	2093056	65536	20480		110592		2813952	1626112	5521408					30019584
20.03.2015 13:59:45	0	0	9240576		86016	3670016	1802240	1036288	724992	1208320	2093056	65536	20480		110592		2813952	1626112	5521408					30019584
20.03.2015 13:59:55	0	0	9240576		86016	3670016	1802240	1036288	720896	1208320	2093056	65536	20480		110592		2813952	1626112	5521408					30015488
20.03.2015 14:00:05	0	0	9240576		86016	3670016	1802240	1036288	720896	1208320	2093056	65536	20480		110592		2813952	1626112	5521408					30015488
20.03.2015 14:00:15	0	0	9240576		86016	3670016	1802240	1036288	720896	1208320	2093056	65536	20480		110592		2813952	1626112	5521408					30015488
20.03.2015 14:00:25	0	0	9240576		86016	3670016	1802240	1036288	720896	1208320	2093056	65536	20480		110592		2813952	1626112	5521408					30015488
20.03.2015 14:00:35	0	0	9240576		86016	3670016	1802240	1036288	720896	1208320	2093056	65536	20480		110592		2813952	1626112	5521408					30015488
20.03.2015 14:00:45	0	0	9240576		86016	3670016	1802240	1036288	720896	1208320	2093056	65536	20480		110592		2813952	1626112	5521408					30015488
20.03.2015 14:00:55	0	0	9240576		86016	3670016	1802240	1036288	720896	1208320	2093056	65536	20480		110592		2813952	1626112	5521408					30015488
20.03.2015 14:01:05	0	0	9240576		86016	3670016	1802240	1036288	720896	1208320	2093056	65536	20480		110592		2813952	1626112	5521408					30015488
20.03.2015 14:01:15	0	0	9240576		86016	3670016	1802240	1036288	720896	1208320	2093056	65536	20480		110592		2813952	1626112	5521408					30015488
20.03.2015 14:01:25	0	0	9240576		86016	3670016	1802240	1036288	720896	1208320	2093056	65536	20480		110592		2813952	1626112	5521408					30015488
20.03.2015 14:01:35	0	0	9240576		86016	3670016	1802240	1036288	720896	1208320	2093056	65536	20480		110592		2813952	1626112	5521408					30015488
20.03.2015 14:01:46	0	0	9240576		86016	3670016	1802240	1036288	720896	1208320	2093056	65536	20480		110592		2813952	1626112	5521408					30015488
20.03.2015 14:01:56	0	0	9240576		86016	3670016	1802240	1036288	720896	1208320	2093056	65536	20480		110592		2813952	1626112	5521408					30015488
20.03.2015 14:02:06	0	0	9240576		86016	3670016	1802240	1036288	720896	1208320	2093056	65536	20480		110592		2813952	1626112	5521408					30015488
20.03.2015 14:02:16	0	0	9240576		86016	3670016	1802240	1036288	720896	1208320	2093056	65536	20480		110592		2813952	1626112	5521408					30015488
20.03.2015 14:02:26	0	0	9240576		86016	3670016	1802240	1036288	720896	1208320	2093056	65536	20480		110592		2813952	1626112	5521408					30015488
20.03.2015 14:02:36	0	0	9240576		86016	3563520	1802240	1036288	720896	1208320	2093056	65536	20480		110592		2813952	1626112	5529600					29917184
20.03.2015 14:02:46	0	0	9240576		86016	3563520	1802240	1036288	720896	1208320	2093056	65536	20480		110592		2813952	1626112	5529600					29917184
20.03.2015 14:02:56	0	0	9240576		86016	3563520	1802240	1036288	720896	1208320	2093056	65536	20480		110592		2813952	1626112	5529600					29917184
20.03.2015 14:03:06	0	0	9240576		86016	3563520	1802240	1036288	720896	1208320	2093056	65536	20480		110592		2813952	1626112	5529600					29917184
20.03.2015 14:03:16	0	0	9240576		86016	3563520	1802240	1036288	720896	1208320	2093056	65536	20480		110592		2813952	1626112	5529600					29917184
20.03.2015 14:03:26	0	0	9240576		86016	3563520	1802240	1036288	720896	1208320	2093056	65536	20480		110592		2813952	1626112	5529600					29917184
20.03.2015 14:03:36	0	0	9240576		86016	3563520	1802240	1036288	720896	1208320	2093056	65536	20480		110592		2813952	1626112	5529600					29917184
20.03.2015 14:03:46	0	0	9240576		86016	3563520	1802240	1036288	720896	1208320	2093056	65536	20480		110592		2813952	1626112	5529600					29917184
20.03.2015 14:03:56	0	0	9240576		86016	3563520	1802240	1036288	720896	1208320	2093056	65536	20480		110592		2813952	1626112	5529600					29917184
20.03.2015 14:04:06	0	0	9240576		86016	3563520	1802240	1036288	720896	1208320	2093056	65536	20480		110592		2813952	1626112	5529600					29917184
20.03.2015 14:04:16	0	0	9240576		86016	3563520	1802240	1036288	720896	1208320	2093056	65536	20480		110592		2813952	1626112	5529600					29917184
20.03.2015 14:04:26	0	0	9240576		86016	3563520	1802240	1036288	720896	1208320	2093056	65536	20480		110592		2813952	1626112	5529600					29917184
20.03.2015 14:04:36	0	0	9240576		86016	3563520	1802240	1036288	720896	1208320	2093056	65536	20480		110592		2813952	1626112	5529600					29917184
20.03.2015 14:04:46	0	0	9240576		86016	3563520	1802240	1036288	720896	1208320	2093056	65536	20480		110592		2813952	1626112	5529600					29917184
20.03.2015 14:04:56	0	0	9240576		86016	3563520	1802240	1036288	724992	1208320	2093056	65536	20480		110592		2813952	1626112	5529600					29921280
20.03.2015 14:05:06	0	0	9240576		86016	3563520	1802240	1036288	724992	1208320	2093056	65536	20480		110592		2813952	1626112	5529600					29921280
20.03.2015 14:05:16	0	0	9248768		86016	3563520	1802240	1036288	724992	1208320	2093056	65536	20480		110592		2813952	1626112	5529600					29929472
20.03.2015 14:05:26	0	0	9248768		86016	3563520	1802240	1036288	724992	1208320	2162688	65536	20480		110592		2813952	1626112	5529600					29999104
20.03.2015 14:05:36	0	0	9248768		86016	3563520	1802240	1036288	724992	1208320	2162688	65536	20480		110592		2813952	1626112	5529600					29999104
20.03.2015 14:05:46	0	0	9248768		86016	3563520	1802240	1036288	724992	1208320	2162688	65536	20480		110592		2813952	1626112	5529600					29999104
20.03.2015 14:05:56	0	0	9248768		86016	3563520	1802240	1036288	724992	1208320	2162688	65536	20480		110592		2813952	1626112	5529600					29999104
20.03.2015 14:06:06	0	0	9248768		86016	3563520	1802240	1036288	724992	1208320	2162688	65536	20480		110592		2813952	1626112	5529600					29999104
20.03.2015 14:06:16	0	0	9248768		86016	3563520	1802240	1036288	724992	1208320	2162688	65536	20480		110592		2813952	1626112	5529600					29999104
20.03.2015 14:06:26	0	0	9248768		86016	3563520	1802240	1036288	724992	1208320	2162688	65536	20480		110592		2813952	1626112	5529600					29999104
20.03.2015 14:06:36	0	0	9248768		86016	3563520	1802240	1036288	724992	1208320	2162688	65536	20480		110592		2813952	1626112	5529600					29999104
20.03.2015 14:06:46	0	0	9248768		86016	3563520	1802240	1036288	724992	1208320	2162688	65536	20480		110592		2813952	1626112	5529600					29999104
