time	NK.EXE	filesys.exe	device.exe	uptimesqm.exe	poutlook.exe	gwes.exe	shell32.exe	services.exe	connmgr.exe	calupd.exe	SSClient.exe	RBTimeStamp.exe	IQueue.exe	RBLogger.exe	SSTransferAgent.exe	memuse.exe	RFIDDce.Exe	DataServer.exe	flexmobility.view.CF.exe	repllog.exe	Dw.exe	ssLaunch.exe	MobileCalculator.exe	calnot.exe	Tskschedule.exe	total
20.03.2015 12:52:39	0	0	9302016		86016	3686400	1806336	1052672	741376		2289664	20480	1298432	65536		110592	2813952	1630208	5419008	561152			1294336			32178176
20.03.2015 12:52:49	0	0	9302016		86016	3686400	1806336	1052672	741376		2289664	20480	1298432	65536		110592	2813952	1630208	5419008	561152			1294336			32178176
20.03.2015 12:52:59	0	0	9302016		86016	3686400	1806336	1052672	741376		2289664	20480	1298432	65536		110592	2813952	1630208	5419008	561152			1294336			32178176
20.03.2015 12:53:09	0	0	9302016		86016	3686400	1806336	1052672	741376		2289664	20480	1298432	65536		110592	2813952	1630208	5419008	561152			1294336			32178176
20.03.2015 12:53:19	0	0	9302016		86016	3686400	1806336	1052672	741376		2289664	20480	1298432	65536		110592	2813952	1630208	5419008	561152			1294336			32178176
20.03.2015 12:53:29	0	0	9302016		86016	3686400	1806336	1052672	741376		2289664	20480	1298432	65536		110592	2813952	1630208	5419008	561152			1294336			32178176
20.03.2015 12:53:39	0	0	9302016		86016	3686400	1806336	1052672	741376		2289664	20480	1298432	65536		110592	2813952	1630208	5419008	561152			1294336			32178176
20.03.2015 12:53:49	0	0	9302016		86016	3686400	1806336	1052672	741376		2289664	20480	1298432	65536		110592	2813952	1630208	5419008	561152			1294336			32178176
20.03.2015 12:53:59	0	0	9302016		86016	3686400	1806336	1052672	741376		2289664	20480	1298432	65536		110592	2813952	1630208	5419008	561152			1294336			32178176
20.03.2015 12:54:09	0	0	9302016		86016	3686400	1806336	1052672	741376		2289664	20480	1298432	65536		110592	2813952	1630208	5419008	561152			1294336			32178176
20.03.2015 12:54:19	0	0	9302016		86016	3686400	1806336	1052672	741376		2289664	20480	1298432	65536		110592	2813952	1630208	5419008	561152			1294336			32178176
20.03.2015 12:54:29	0	0	9302016		86016	3686400	1806336	1052672	741376		2289664	20480	1298432	65536		110592	2813952	1630208	5419008	561152			1294336			32178176
20.03.2015 12:54:39	0	0	9302016		86016	3686400	1806336	1052672	741376		2289664	20480	1298432	65536		110592	2813952	1630208	5419008	561152			1294336			32178176
20.03.2015 12:54:49	0	0	9302016		86016	3686400	1806336	1052672	741376		2289664	20480	1298432	65536		110592	2813952	1630208	5419008	561152			1294336			32178176
20.03.2015 12:54:59	0	0	9302016		86016	3686400	1806336	1052672	741376		2289664	20480	1298432	65536		110592	2813952	1630208	5419008	561152			1294336			32178176
20.03.2015 12:55:09	0	0	9302016		86016	3686400	1806336	1052672	741376		2289664	20480	1298432	65536		110592	2813952	1630208	5419008	561152			1294336			32178176
20.03.2015 12:55:19	0	0	9302016		86016	3686400	1806336	1052672	741376		2289664	20480	1298432	65536		110592	2813952	1630208	5419008	561152			1294336			32178176
20.03.2015 12:55:29	0	0	9302016		86016	3686400	1806336	1052672	741376		2289664	20480	1298432	65536		110592	2813952	1630208	5419008	561152			1294336			32178176
20.03.2015 12:55:39	0	0	9302016		86016	3686400	1806336	1052672	741376		2289664	20480	1298432	65536		110592	2813952	1630208	5419008	561152			1294336			32178176
20.03.2015 12:55:49	0	0	9302016		86016	3686400	1806336	1052672	741376		2289664	20480	1298432	65536		110592	2813952	1630208	5419008	561152			1294336			32178176
20.03.2015 12:55:59	0	0	9302016		86016	3686400	1806336	1052672	741376		2289664	20480	1298432	65536		110592	2813952	1630208	5419008	561152			1294336			32178176
20.03.2015 12:56:09	0	0	9302016		86016	3686400	1806336	1052672	741376		2289664	20480	1298432	65536		110592	2813952	1630208	5419008	561152			1294336			32178176
20.03.2015 12:56:19	0	0	9302016		86016	3686400	1806336	1052672	741376		2289664	20480	1298432	65536		110592	2813952	1630208	5419008	561152			1294336			32178176
20.03.2015 12:56:29	0	0	9302016		86016	3686400	1806336	1052672	741376		2289664	20480	1298432	65536		110592	2813952	1630208	5419008	561152			1294336			32178176
20.03.2015 12:56:40	0	0	9302016		86016	3686400	1806336	1052672	741376		2289664	20480	1298432	65536		110592	2813952	1630208	5419008	561152			1294336			32178176
20.03.2015 12:56:50	0	0	9302016		86016	3686400	1806336	1052672	741376		2289664	20480	1298432	65536		110592	2813952	1630208	5419008	561152			1294336			32178176
20.03.2015 12:57:00	0	0	9302016		86016	3686400	1806336	1052672	741376		2289664	20480	1298432	65536		110592	2813952	1630208	5419008	561152			1294336			32178176
20.03.2015 12:57:10	0	0	9302016		86016	3686400	1806336	1052672	741376		2289664	20480	1298432	65536		110592	2813952	1630208	5419008	561152			1294336			32178176
20.03.2015 12:57:20	0	0	9302016		86016	3686400	1806336	1052672	741376		2289664	20480	1298432	65536		110592	2813952	1630208	5419008	561152			1294336			32178176
20.03.2015 12:57:30	0	0	9302016		86016	3686400	1806336	1052672	741376		2289664	20480	1298432	65536		110592	2813952	1630208	5419008	561152			1294336			32178176
20.03.2015 12:57:40	0	0	9302016		86016	3686400	1806336	1052672	741376		2289664	20480	1298432	65536		110592	2813952	1630208	5419008	561152			1294336			32178176
20.03.2015 12:57:50	0	0	9302016		86016	3686400	1806336	1052672	741376		2289664	20480	1298432	65536		110592	2813952	1630208	5419008	561152			1294336			32178176
20.03.2015 12:58:00	0	0	9302016		86016	3686400	1806336	1052672	741376		2289664	20480	1298432	65536		110592	2813952	1630208	5419008	561152			1294336			32178176
20.03.2015 12:58:10	0	0	9302016		86016	3686400	1806336	1052672	741376		2289664	20480	1298432	65536		110592	2813952	1630208	5419008	561152			1294336			32178176
20.03.2015 12:58:20	0	0	9302016		86016	3686400	1806336	1052672	741376		2289664	20480	1298432	65536		110592	2813952	1630208	5419008	561152			1294336			32178176
20.03.2015 12:58:30	0	0	9302016		86016	3686400	1806336	1052672	741376		2289664	20480	1298432	65536		110592	2813952	1630208	5419008	561152			1294336			32178176
20.03.2015 12:58:40	0	0	9302016		86016	3686400	1806336	1052672	741376		2289664	20480	1298432	65536		110592	2813952	1630208	5419008	561152			1294336			32178176
20.03.2015 12:58:50	0	0	9302016		86016	3686400	1806336	1052672	737280		2289664	20480	1298432	65536		110592	2813952	1630208	5419008	561152			1294336			32174080
20.03.2015 12:59:00	0	0	9302016		86016	3686400	1806336	1052672	737280		2289664	20480	1298432	65536		110592	2813952	1630208	5419008	561152			1294336			32174080
20.03.2015 12:59:10	0	0	9302016		86016	3686400	1806336	1052672	737280		2289664	20480	1298432	65536		110592	2813952	1630208	5419008	561152			1294336			32174080
20.03.2015 12:59:20	0	0	9302016		86016	3686400	1806336	1052672	737280		2289664	20480	1298432	65536		110592	2813952	1630208	5419008	561152			1294336			32174080
20.03.2015 12:59:30	0	0	9302016		86016	3686400	1806336	1052672	737280		2289664	20480	1298432	65536		110592	2813952	1630208	5419008	561152			1294336			32174080
20.03.2015 12:59:40	0	0	9302016		86016	3686400	1806336	1052672	737280		2289664	20480	1298432	65536		110592	2813952	1630208	5419008	561152			1294336			32174080
20.03.2015 12:59:50	0	0	9302016		86016	3686400	1806336	1052672	737280		2289664	20480	1298432	65536		110592	2813952	1630208	5419008	561152			1294336			32174080
20.03.2015 13:00:00	0	0	9302016		86016	3686400	1806336	1052672	737280		2289664	20480	1298432	65536		110592	2813952	1630208	5419008	561152			1294336			32174080
20.03.2015 13:00:10	0	0	9302016		86016	3686400	1806336	1052672	737280		2289664	20480	1298432	65536		110592	2813952	1630208	5419008	561152			1294336			32174080
20.03.2015 13:00:20	0	0	9302016		86016	3686400	1806336	1052672	737280		2289664	20480	1298432	65536		110592	2813952	1630208	5419008	561152			1294336			32174080
20.03.2015 13:00:30	0	0	9302016		86016	3686400	1806336	1052672	737280		2289664	20480	1298432	65536		110592	2813952	1630208	5419008	561152			1294336			32174080
20.03.2015 13:00:40	0	0	9302016		86016	3686400	1806336	1052672	737280		2289664	20480	1298432	65536		110592	2813952	1630208	5419008	561152			1294336			32174080
20.03.2015 13:00:50	0	0	9302016		86016	3686400	1806336	1052672	737280		2289664	20480	1298432	65536		110592	2813952	1630208	5419008	561152			1294336			32174080
20.03.2015 13:01:00	0	0	9302016		86016	3686400	1806336	1052672	737280		2289664	20480	1298432	65536		110592	2813952	1630208	5419008	561152			1294336			32174080
20.03.2015 13:01:10	0	0	9302016		86016	3686400	1806336	1052672	737280		2289664	20480	1298432	65536		110592	2813952	1630208	5419008	561152			1294336			32174080
